page,column,column_page,column_page_end,guessed,title,bold_ratio,first_line
13,left,25,25,0,АБАДИТЫ,0.841,"АБАДИТЫ,"
13,left,25,25,0,"АБАЗА, Александр Агеевич",0.787,"АБАЗА, Александр Агеевич ("
13,left,25,25,0,АБАЗИНЫ,0.841,АБАЗИНЫ
13,right,26,26,0,АБАЙ КУНАНБАЕВ,0.841,АБАЙ КУНАНБАЕВ
13,right,26,27,0,АБАТАЙ-ХАН,0.836,АБАТАЙ-ХАН
13,left,25,25,0,"ААЛТОНЕН, Аймо",0.801,"ААЛТОНЕН (Аа!опеп), Аймо - У ВААа @"
14,left,27,27,0,"АББАС, Ферхат",0.807,"АББАС, Ферхат"
14,left,27,28,0,АББАС I,0.788,`АББАСТ(
14,right,28,28,0,АББАС II ХИЛЬМИ,0.829,АББАС П ХИЛЬМИ
14,right,28,32,0,АББАСИДОВ ХАЛИФАТ,0.838,АББАСИДОВ ХАЛИФАТ
14,left,27,27,0,АБАШЕВСКАЯ КУЛЬТУРА,0.823,АБАШЕВСКАЯ КУЛЬТУРА
16,right,32,32,0,АББАСИДЫ,0.838,АББАСЙДЫ
16,right,32,33,0,АББАС-МИРЗА,0.809,АББАС-МИРЗА:
17,left,33,33,0,АББАТСТВО,0.825,ртр АББАТСТВО
17,left,33,33,0,АББОН,0.85,АББОН.
17,left,33,33,0,АБДАЛЛАХ ИБН АЗ-ЗУБЕЙР,0.833,АБДАЛЛАХ ИБН АЗ-ЗУ БЕЙР |
17,left,33,33,0,АБДАЛЛАХ ИБН АЛЬ-САИД МУХАММЕД,0.833,"АБДАЛЛАХ ИБН АЛЬ-САИД МУХАММЕД,"
17,left,33,33,0,АБДАЛЛАХ ИБН ХУСЕЙН,0.827,АБДАЛЛАХ ИБН ХУСЁЙН
17,left,33,33,0,АБД-АЛЬ-АЗИЗ,0.827,АБД-АЛЬ-АЗИЗ
17,left,33,34,0,"АБД-АЛЬ-ВАХХАБ, Хасан Хусни",0.812,"АБД-АЛЬ-ВАХХАБ, Хасан Хусни"
17,right,34,34,0,АБД-АЛЬ-КАДИР,0.831,"АБД-АЛЬ-КАДИР,"
17,right,34,34,0,АБД-АЛЬ-КАДИРА ВОССТАНИЕ,0.839,АБД-АЛЬ-КАДИРА ВОССТАНИЕ
17,left,33,33,0,АБДАЛИ,0.824,АБДАЛИ
18,left,35,36,0,АБД-АЛЬ-КЕРИМ,0.838,"АБД-АЛЬ-КЕРИМ,"
18,right,36,36,0,АБД-АЛЬ-МАЛИК,0.833,АБД-АЛЬ-МАЛИК
18,right,36,36,0,АБД-АЛЬ-ХАФИЗ,0.834,"АБД-АЛЬ-ХАФИЗ,"
18,right,36,36,0,АБД-АР-РАЗЗАК,0.831,АБД-АР-РАЗЗАК
18,right,36,36,0,АБД-АР-РАЗЗАК ДУМБУЛИ,0.832,АБД-АР-РАЗЗАК ДУМБУЛИ
18,right,36,37,0,АБДАРРАХМАН,0.837,АБДАРРАХМАН
19,left,37,37,0,АБДАШИРТА,0.857,АБДАШИРТА -
19,left,37,37,0,"АБДО, Мухаммед",0.796,"АБДО, Мухаммед_ ВАО О ОИНИЦ О НОЛН НО НОНя з Х"
19,left,37,38,0,"АБДУЛГАНИ, Руслан",0.815,"АБДУЛГАНИ (АБ4шфвап!), Руслан ("
