page,column,column_page,column_page_end,guessed,title,bold_ratio,first_line
22,right,44,,0,БАЗЕЛЬСКИЙ КОНГРЕСС 2-го,0.815,БАЗЕЛЬСКИЙ КОНГРЕСС 2-го
22,right,44,,0,БАЗЕЛЬСКИЙ — МАНИФЕСТ 1912°,0.807,БАЗЕЛЬСКИЙ — МАНИФЕСТ 1912°
22,right,44,,0,БАЗЕЛЬСКИЙ СОБОР,0.821,БАЗЕЛЬСКИЙ СОоБОР
22,left,43,,0,БАЗКЕЛЬСКИЕ МИРНЫЕ — ДОГОВОРЫ 1795-,0.823,БАЗКЕЛЬСКИЕ МИРНЫЕ — ДОГОВОРЫ 1795-
23,left,45,,0,БАЗИЛЕВИЧ. Константин Васильевич °,0.785,БАЗИЛЕВИЧ. Константин Васильевич °
23,right,46,,0,"БАЗИЛИ, Константин Михайлович",0.776,"БАЗИЛИ, Константин Михайлович"
23,right,46,,0,"БАЙШЕВ, Сактаган Баишевич",0.791,"БАЙШЕВ, Сактаган Баишевич"
23,right,46,,0,"БАЙДУКОВ, Георгий Филиппович",0.788,"БАЙДУКОВ, Георгий Филиппович"
23,right,46,,0,БАЙЕР (Вауег). Готлиб Зигфрид _,0.762,БАЙЕР (Вауег). Готлиб Зигфрид _
23,left,45,,0,"БАЗЕН — (Вазатс), Ашиль Франсуа",0.762,"БАЗЕН — (Вазатс), Ашиль Франсуа"
23,left,45,,0,"БАЗЁН (Вазт), Тома",0.776,"БАЗЁН (Вазт), Тома"
25,left,49,,0,"БАЙМЛЕР (Ве!т1ст), Гапс",0.787,"БАЙМЛЕР (Ве!т1ст), Гапс"
25,right,50,,0,"БАЙРАКТАР, Мустафа-паша",0.791,"БАЙРАКТАР, Мустафа-паша"
25,right,50,,0,БАЙРАКТАРЫ,0.834,БАЙРАЦКТАРЫ
25,left,49,,0,БАЙЛЯНЬЦЗЯО ВОССТАНИЕ 1796—1805.,0.807,БАЙЛЯНЬЦЗЯО ВОССТАНИЕ 1796—1805.
25,right,50,,0,БАЙОННСКАЯ КоОНСТИТУЦИЯ 1808,0.823,БАЙОННСКАЯ КоОНСТИТУЦИЯ 1808
25,right,50,,0,БАЙОННСКИЕ КОРТЁСЫ,0.826,БАЙОННСКИЕ КОРТЁСЫ
26,left,51,,0,БАЙРАМ-ХАН,0.822,БАЙРАМ-ХАН
26,left,51,,0,"БАИРОН (Вугоп), Джордж Ноэл Гордон",0.773,"БАИРОН (Вугоп), Джордж Ноэл Гордон"
26,right,52,,0,БАИСИН,0.825,БАИСИН —
26,right,52,,0,БАЙ ЦИ,0.842,БАЙ ЦИ
26,right,52,,0,"БАЙЧИ-ЖИЛИНСКИ — (Ва)сзу-751п52Ку), Эндре",0.792,"БАЙЧИ-ЖИЛИНСКИ — (Ва)сзу-751п52Ку), Эндре"
27,left,53,,0,БАКАЕВ ШЛЯХ,0.828,БАКАЕВ ШЛЯХ
27,left,53,,0,БАКИНСВКВАЯ КОММУНА 1918°,0.82,БАКИНСВКВАЯ КОММУНА 1918°
27,left,53,,0,"БАКАЛОВ, Георги",0.794,"БАКАЛОВ, Георги"
28,left,55,,1,БАКИНСКАЯ ОПЕРАЦИЯ 1920°,0.825,БАКИНСКАЯ ОПЕРАЦИЯ 1920°
28,right,56,,1,БАКИНСКИЕ КОМИиССАРЫ -,0.831,БАКИНСКИЕ КОМИиССАРЫ -
31,left,61,,1,БАКЙНСКПЕ сСТАЧКЕИ,0.831,БАКЙНСКПЕ сСТАЧКЕИ
32,right,64,,1,БАКИНСКОЕ ХАНСТВО,0.83,БАКИНСКОЕ ХАНСТВО
32,right,64,,1,"БАКИХАНОВ, Аббас-Кули-А га",0.794,"БАКИХАНОВ, Аббас-Кули-А га"
33,right,62,,0,БАКТРИЯ,0.831,"БАГТРИЯ,"
33,right,62,,0,БАКУ,0.814,БАКУ
33,left,61,,0,БАКОНГО,0.835,БАКОНГО
33,left,61,,0,"БАКРАДЗЕ, Дмитрий Заха рович",0.778,"БАКРАДЗЕ, Дмитрий Заха рович"
33,right,62,,0,"‚БАКСТЕР (Вах!1ег), Ричард",0.778,"‚БАКСТЕР (Вах!1ег), Ричард"
33,right,62,,0,` БАКТРА.,0.797,` БАКТРА.
35,right,66,,0,БАКУБА,0.82,БАКУБА
35,right,66,,0,БАКУМАЦУ,0.816,БАКУМАЦУ
35,right,66,,0,"БАКУНИН, Михаил — Александрович",0.782,"БАКУНИН, Михаил — Александрович"
